년도,날짜,분류,상태,상호명,주소,잔존여부,비고
2015,2015-01-28,주유소,폐업,호남제2주유소,전라북도 전주시 덕진구 온고을로479 (여의동),X,주소검색안됨
2015,2015-01-28,주유소,신규등록,전주나들목주유소,전북 전주시 덕진구 온고을로 757(반월동),O,24년11월 다른건물(주유소)
2015,2015-02-11,주유소,폐업,(유)나들목주유소,전라북도 전주시 덕진구 원반월길7 (반월동),X,주소검색안됨
2015,2015-03-05,주유소,등록취소,행복드림주유소,전북 전주시 덕진구 고랑동 614-3 외4필지,X,주소검색안됨
2015,2015-03-18,주유소,휴업,성화주유소,전라북도 전주시 덕진구 원장동길135 (장동),X,주소검색안됨
2015,2015-03-20,주유소,폐업,송이주유소,전라북도 전주시 덕진구 동부대로1018 (송천동2가),X,주소검색안됨
2015,2015-03-23,주유소,폐업,송이주유소,전라북도 전주시 덕진구 동부대로1018 (송천동2가),X,주소검색안됨
2015,2015-04-17,주유소,휴업,큰길주유소,전북 전주시 덕진구 용덕길 3-22,X,23년7월 다른건물
2015,2015-06-02,주유소,휴업,성화주유소,전라북도 전주시 덕진구 원장동길135 (장동),X,주소검색안됨
2015,2015-06-08,주유소,폐업,비전주유소,전라북도 전주시 덕진구 원장동길80 (장동),X,주소검색안됨
2015,2015-06-16,주유소,폐업,수정주유소,전라북도 전주시 완산구 쑥고개옛길129 (삼천동3가),X,주소검색안됨
2015,2015-07-20,주유소,폐업,㈜대광석유 제일주유소,전북 전주시 덕진구 팔복동3가 산 179,O,23년7월 다른건물(주유소)
2015,2015-08-17,주유소,휴업,현대반월주유소,전라북도 전주시 덕진구 삼례로111 (반월동),X,
2015,2015-08-21,주유소,휴업,(유)석구동에너지,전라북도 전주시 완산구 모악로4485 (석구동),O,23년7월 다른건물(주유소)
2015,2015-09-09,주유소,폐업,대정주유소,전라북도 전주시 완산구 구이로2075 (평화동2가),X,
2015,2015-09-24,주유소,휴업,GS칼텍스㈜직영 신성점,전북 전주시 덕진구 전주천동로469(금암동),X,23년7월 다른건물
2015,2015-11-04,주유소,폐업,친절주유소,전라북도 전주시 덕진구 천마산로53 (송천동2가),X,25년6월 다른건물
2015,2015-11-09,주유소,휴업,대림싼주유소,전라북도 전주시 덕진구 들사평서로17 (덕진동1가),O,23년7월 영업중
2015,2015-11-16,주유소,폐업,돼지꿈주유소,전라북도 전주시 완산구 모악로4627 (평화동2가),X,주소검색안됨
2015,2015-11-24,주유소,폐업,우전주유소,전라북도 전주시 완산구 쑥고개로404 (효자동2가),X,주소검색안됨
2015,2015-11-30,주유소,신규등록,대한민국만세주유소,전북 전주시 덕진구 혁신로466(창동603-3),O,23년7월 영업중
2016,2016-03-07,주유소,폐업,에덴주유소,전북 전주시 완산구 백제대로277 (중화산동2가),X,25년7월 다른건물
2016,2016-05-16,주유소,폐업,소망주유소,전라북도 전주시 완산구 유연로17 (효자동3가),X,주소검색안됨
2016,2016-06-30,주유소,폐업,모악주유소,전라북도 전주시 완산구 천잠로36-15 (삼천동2가),X,주소검색안됨
2016,2016-07-25,주유소,휴업,광장주유소,전라북도 전주시 완산구 노송광장로13 (서노송동),X,주소검색안됨
2016,2016-09-21,주유소,휴업,싼주유소,전라북도 전주시 완산구 춘향로5190 (색장동),O,23년7월
2016,2016-10-24,주유소,폐업,제일문주유소,전라북도 전주시 덕진구 기린대로1062 (여의동),X,주소검색안됨
2017,2017-01-02,주유소,휴업,전주성주유소,전라북도 전주시 완산구 팔달로291 (서노송동),X,24년5월 다른건물
2017,2017-05-16,주유소,폐업,무궁화주유소,전라북도 전주시 완산구 서학로37 (동서학동),X,25년5월 다른건물
2017,2017-06-13,주유소,폐업,SK한양주유소,전라북도 전주시 덕진구 백제대로809 (우아동3가),X,25년7월 다른건물
2017,2017-07-18,주유소,폐업,현대반월주유소,전라북도 전주시 덕진구 삼례로111 (반월동),X,23년7월 다른건물
2017,2017-07-24,주유소,폐업,광장주유소,전라북도 전주시 완산구 노송광장로13 (서노송동),X,주소검색안됨
2017,2017-07-28,주유소,폐업,토토주유소,전라북도 전주시 덕진구 온고을로548 (여의동),X,23년7월 다른건물
2017,2017-08-11,주유소,휴업,행복주유소,전라북도 전주시 덕진구 동부대로641 (우아동3가),O,24년5월 다른건물(주유소)
2017,2017-08-14,주유소,휴업,(구)소망주유소,전라북도 전주시 완산구 춘향로5265 (대성동),O,23년7월
2017,2017-09-01,주유소,휴업,행복가득주유소,전라북도 전주시 완산구 장승배기로270 (평화동1가),O,24년5월 영업중
2017,2017-10-26,주유소,폐업,전주성주유소,전라북도 전주시 완산구 팔달로291 (서노송동),X,24년5월 다른건물
2018,2018-02-07,주유소,폐업,동부주유소,전라북도 전주시 덕진구 백제대로778 (우아동3가),X,25년7월 다른건물(공터)
2018,2018-04-17,주유소,휴업,sk네트웍스(주)은벽주유소,전라북도 전주시 덕진구 안덕원로318 (인후동1가),O,24년5월 영업중
2018,2018-04-18,주유소,휴업,미소주유소,전라북도 전주시 완산구 모악로4485 (석구동),O,23년7월 다른건물(주유소)
2018,2018-06-14,주유소,폐업,성화주유소,전라북도 전주시 덕진구 원장동길135 (장동),X,주소검색안됨
2018,2018-06-25,주유소,신규등록,유연로주유소,전라북도 전주시 완산구 유연로 59(효자동3가),O,23년7월 다른건물(주유소)
2018,2018-06-28,주유소,휴업,sk네트웍스(주)은벽주유소,전라북도 전주시 덕진구 안덕원로318 (인후동1가),O,24년5월 영업중
2018,2018-07-13,주유소,휴업,새로운주유소,전라북도 전주시 완산구 문화광장로22 (서노송동),X,24년5월 다른건물(주차장)
2018,2018-07-31,주유소,휴업,sk네트웍스(주)은벽주유소,전라북도 전주시 덕진구 안덕원로318 (인후동1가),O,24년5월 영업중
2018,2018-09-03,주유소,휴업,(주)유진에너지상사 전주상리주유소,전라북도 전주시 덕진구 상리2길67 (팔복동2가),O,23년7월 영업중
2018,2018-10-23,주유소,폐업,동성주유소,전라북도 전주시 덕진구 백제대로618 (금암동),X,25년7월 다른건물(주차장)
2018,2018-11-21,주유소,폐업,고객행복(주) 하가주유소,전라북도 전주시 덕진구 가리내로184 (덕진동1가),X,20년9월 다른건물(정비소)
2018,2018-12-26,주유소,휴업,미소주유소,전라북도 전주시 완산구 모악로4485 (석구동),O,23년7월 다른건물(주유소)
2019,2019-01-04,주유소,신규등록,샘물주유소,전라북도 전주시 덕진구온고을로 441(만성동),O,23년7월 다른건물(주유소)
2019,2019-04-05,주유소,폐업,반도주유소,전라북도 전주시 완산구 전주천동로248 (다가동4가),X,25년5월 다른건물
2019,2019-04-25,주유소,휴업,전주셀프주유소,전라북도 전주시 완산구 춘향로5006 (색장동),O,23년7월 영업중
2019,2019-07-05,주유소,휴업,동산주유소,전라북도 전주시 덕진구 동부대로1563 (고랑동),O,23년10월 터만있음
2019,2019-11-04,주유소,폐업,아중주유소,전라북도 전주시 덕진구 아중로135 (인후동1가),X,24년5월 다른건물(스타벅스 드라이브스루)
2019,2019-11-20,주유소,휴업,복주유소,전라북도 전주시 완산구 구이로2089 (평화동2가),X,24년6월 다른건물(세차장)
2019,2019-11-27,주유소,휴업,성가신협주유소,전라북도 전주시 완산구 모악로4485 (석구동),O,23년7월 다른건물(주유소)
2019,2019-12-03,주유소,폐업,차사랑주유소,전라북도 전주시 덕진구 과학로145 (전미동1가),X,25년1월 다른건물(공터)
2020,2020-01-13,주유소,휴업,㈜에이치에스케미칼,전라북도 전주시 완산구 공북로75 (태평동),O,24년5월 터만있음
2020,2020-02-17,주유소,휴업,새로운주유소,전라북도 전주시 완산구 문화광장로22 (서노송동),X,24년5월 다른건물(주차장)
2020,2020-06-12,주유소,폐업,동산셀프주유소,전라북도 전주시 덕진구 쪽구름로118 (반월동),X,24년4월 다른건물
2020,2020-07-21,주유소,휴업,안골셀프주유소,전라북도 전주시 덕진구 안덕원로307 (인후동1가),X,24년5월 다른건물(버거킹 드라이브스루)
2020,2020-09-01,주유소,폐업,안골셀프주유소,전라북도 전주시 덕진구 안덕원로307 (인후동1가),X,24년5월 다른건물(버거킹 드라이브스루)
2020,2020-11-09,주유소,휴업,복주유소,전라북도 전주시 완산구 구이로2089 (평화동2가),X,24년6월 다른건물(세차장)
2020,2020-12-31,주유소,폐업,복주유소,전라북도 전주시 완산구 구이로2089 (평화동2가),X,24년6월 다른건물(세차장)
2020,2020-12-31,주유소,폐업,천변주유소,전라북도 전주시 덕진구 전주천동로432 (진북동),X,23년7월 다른건물(철물점)
2021,2021-01-19,주유소,휴업,덕산주유소,전라북도 전주시 완산구 춘향로4923 (색장동),O,23년7월 영업중
2021,2021-01-28,주유소,휴업,중앙주유소,전라북도 전주시 덕진구 전미로148 (전미동2가),X,24년5월 다른건물
2021,2021-02-10,주유소,휴업,새로운주유소,전라북도 전주시 완산구 문화광장로22 (서노송동),X,24년5월 다른건물(주차장)
2021,2021-02-18,주유소,휴업,스마일주유소,전라북도 전주시 완산구 공북로75 (태평동),O,24년5월 터만있음
2021,2021-04-01,주유소,폐업,쌍용제1주유소,전라북도 전주시 덕진구 태진로140 (금암동),X,23년10월 다른건물(공사중)
2021,2021-04-15,주유소,신규등록,효천주유소,전라북도 전주시 효자동2가1375-2,O,23년7월 영업중
2021,2021-04-15,주유소,폐업,하가주유소,전라북도 전주시 덕진구 덕진동2가390-4,X,23년7월 다른건물(주차장)
2021,2021-06-11,주유소,폐업,효자주유소,전라북도 전주시 완산구 서원로167 (효자동3가),X,25년7월 다른건물(반려동물분양숍)
2021,2021-08-20,주유소,휴업,스마일주유소,전라북도 전주시 완산구 공북로75 (태평동),O,24년5월 터만있음
2021,2021-09-02,주유소,휴업,행복주유소,전라북도 전주시 덕진구 동부대로641 (우아동3가),O,24년5월 다른건물(주유소)
2021,2021-09-06,주유소,휴업,통큰셀프주유소,전라북도 전주시 덕진구 기린대로950 (여의동2가),X,23년7월 다른건물(공사중)
2021,2021-10-15,주유소,폐업,전주제일주유소,전라북도 전주시 완산구 거마평로153 (효자동1가),X,24년5월 다른건물(공사중)
2021,2021-10-19,주유소,폐업,베스트주유소,전라북도 전주시 완산구 쑥고개로255 (효자동2가),X,23년7월 주소검색안됨
2021,2021-11-15,주유소,폐업,통큰셀프주유소,전라북도 전주시 덕진구 기린대로950 (여의동2가),X,23년7월 다른건물(공터)
2021,2021-12-28,주유소,폐업,(유)도원플러스,전라북도 전주시 덕진구 동부대로798 (호성동1가),X,23년7월 다른건물(탑텐)
2022,2022-03-18,주유소,폐업,중앙주유소,전라북도 전주시 덕진구 전미로148 (전미동2가),X,24년5월 다른건물
2022,2022-03-22,주유소,휴업,세진주유소,전라북도 전주시 덕진구 기린대로674 (팔복동2가),O,23년10월 다른건물(주유소)
2022,2022-08-17,주유소,휴업,스마일주유소,전라북도 전주시 완산구 공북로75 (태평동),O,24년5월 터만있음
2022,2022-09-28,주유소,폐업,새로운주유소,전라북도 전주시 완산구 문화광장로22 (서노송동),X,24년5월 다른건물(주차장)
2022,2022-11-30,주유소,폐업,동산제일주유소,전라북도 전주시 덕진구 쪽구름3길46 (여의동2가),X,24년4월 다른건물(공터)
2022,2022-12-02,주유소,휴업,황금주유소,전라북도 전주시 덕진구 초포다리로176 (호성동1가),O,23년7월 다른건물(주유소)
2022,2022-12-23,주유소,휴업,한옥마을주유소,전라북도 전주시 완산구 기린대로242 (서노송동),O,23년10월 영업중
2023,2023-03-08,주유소,휴업,고향주유소,전라북도 전주시 완산구 견훤로87 (남노송동),O,23년7월
2023,2023-03-16,주유소,휴업,은일주유소,전라북도 전주시 완산구 쑥고개로174 (삼천동3가),O,23년8월
2023,2023-04-07,주유소,폐업,장동주유소,전라북도 전주시 덕진구 온고을로644 (장동),X,주소검색안됨
2023,2023-05-01,주유소,폐업,스마일주유소,전라북도 전주시 완산구 공북로75 (태평동),O,24년5월 터만있음
2023,2023-05-16,주유소,휴업,유한회사 이율에너지 동산주유소,전라북도 전주시 덕진구 동부대로1563 (고랑동),O,23년10월 터만있음
2023,2023-06-01,주유소,휴업,(유)하은에너지 우문가스충전주유소,전라북도 전주시 덕진구 동부대로1273 (송천동2가),O,23년7월
2023,2023-06-09,주유소,폐업,우아주유소,전라북도 전주시 덕진구 아중로220 (우아동1가),X,24년5월 다른건물(스타벅스)
2023,2023-06-28,주유소,휴업,(구)소망주유소,전라북도 전주시 완산구 춘향로5265 (대성동),O,23년7월
2023,2023-08-16,주유소,폐업,골드주유소,전라북도 전주시 덕진구 혁신로544 (여의동),O,23년7월
2023,2023-08-22,주유소,휴업,어은터널주유소,전라북도 전주시 덕진구 어은로127 (진북동),O,24년5월
2023,2023-08-30,주유소,폐업,진영주유소,전라북도 전주시 완산구 안행로13 (삼천동1가),O,23년11월 터만있음
2023,2023-12-01,주유소,폐업,새하늘주유소,전라북도 전주시 완산구 쑥고개로216 (삼천동3가),O,23년8월
2023,2023-12-29,주유소,폐업,첨단주유소,전라북도 전주시 덕진구 기린대로894 (여의동2가),O,23년7월
2024,2024-01-15,주유소,휴업,천지주유소 안행지점,전라북도 전주시 완산구 안행로58 (효자동1가),O,24년5월
2024,2024-04-24,주유소,휴업,유진주유소,전북특별자치도 전주시 덕진구 원만성로45 (팔복동3가),O,23년7월
2024,2024-07-12,주유소,폐업,삼성주유소,전북특별자치도 전주시 완산구 견훤왕궁로74 (중노송동),X,
2024,2024-08-28,주유소,휴업,어은터널주유소,전북특별자치도 전주시 덕진구 어은로127 (진북동),O,24년5월
2024,2024-09-04,주유소,폐업,유한회사 이율에너지 동산주유소,전북특별자치도 전주시 덕진구 동부대로1563 (고랑동),O,23년10월 터만있음
2024,2024-11-25,주유소,휴업,화정주유소,전북특별자치도 전주시 덕진구 초포로210 (호성동2가),O,20년9월 터만있음