hd_nm,숙박업소수
중앙동,1031
남면,245
대천5동,237
북면,227
애월읍,197
서면,176
영흥면,159
황오동,155
원평동,154
송정동,151
가평읍,150
의정부1동,144
연동,144
종로1.2.3.4가동,136
상면,135
설천면,130
민락동,129
용유동,122
강현면,117
매산동,117
돌산읍우두출장소,116
청평면,106
삼산동,104
울릉읍,104
명동,103
안면읍,100
괘법동,99
중제1동,98
안덕면,96
인계동,95
우제1동,94
충무동,89
서신면,89
온천1동,89
영등포동,87
오동동,86
신안동,86
성산읍,85
부전제2동,83
변산면,82
광희동,81
심곡2동,79
우산동,78
우아2동,77
조종면,77
경포동,76
주안1동,75
인화동,74
대흥동,74
토성면,72
현남면,72
성북동,72
상남동,71
교2동,71
설악면,70
대원1동,69
부전제1동,68
봉평면,67
조천읍,67
한림읍,66
대관령면,65
신흥동,64
온천제1동,64
원북면,63
대포동,63
용전동,63
상북면,62
중리동,62
금암동,62
장흥면,61
부원동,61
합성2동,61
쌍봉동,60
삼산면,60
수택1동,59
치평동,59
부평5동,59
충장동,59
신촌동,58
남포동,58
행궁동,57
담양읍,57
기장읍,57
천지동,57
강동면,57
성남동,56
회현동,56
한려동,56
광안제2동,56
완도읍,55
근흥면,55
소원면,55
불국동,54
신림동,54
신당동,54
대정읍,54
상대동,53
목원동,53
옥천동,52
소흘읍,52
예산읍,51
신평동,51
덕산면,51
중구동,50
안양1동,50
고현동,50
가경동,50
옥련1동,49
반포면,49
동명동,49
부평1동,49
동서금동,48
온양1동,48
탄현면,48
태안읍,47
강구면,47
남항동,47
노형동,46
묵호동,46
신정3동,46
손양면,46
초당동,46
남산면,46
삼도1동,46
인동동,46
활천동,46
신천4동,45
주문진읍,45
암남동,45
부춘동,45
운서동,45
구좌읍,45
성내2동,45
대교동,45
신흥1동,44
대이동,44
소룡동,43
영화동,43
초량제2동,43
죽도동,43
우아1동,43
삼도2동,43
역삼1동,42
사북읍,42
조치원읍,42
송산동,42
을지로동,42
현북면,42
중마동,42
무전동,42
음봉면,41
은행선화동,41
도사동,41
용문면,41
죽왕면,41
속리산면,41
고창읍,41
홍천읍,41
화도면,41
대천1동,41
영서동,40
문성동,40
숭인제2동,40
봉방동,40
성정2동,40
고한읍,40
화곡제1동,40
만호동,40
수진1동,39
단양읍,39
석남1동,39
풍남동,39
광양읍,39
조곡동,39
동문2동,39
장유2동,38
서생면,38
동명면,38
신장2동,38
고성읍,38
근화동,37
동문동,37
팔룡동,37
고남면,37
화산동,37
소공동,37
옥포1동,37
표선면,37
신흥3동,37
신탄진동,37
성안동,37
광도면,36
거창읍,36
초량제1동,36
사천읍,36
대륜동,36
상봉제2동,36
초량제3동,36
감포읍,36
신관동,36
강남동,35
오천읍,35
지산동,35
휴천2동,35
오창읍,35
중화산1동,35
영종2동,35
연지동,35
덕연동,35
강하면,35
정방동,35
양구읍,35
둔내면,35
이도1동,35
평리4동,34
길상면,34
정량동,34
동인천동,34
조양동,34
중문동,34
청호동,33
안양6동,33
성정1동,33
문경읍,33
가리봉동,33
당진1동,33
송악읍,33
해도동,33
삼수동,33
방이2동,33
노학동,33
구포제1동,33
양양읍,32
신정1동,32
첨단1동,32
신정2동,32
도곡면,32
동탄1동,32
교동,32
남원읍,32
의정부2동,32
이도2동,32
상평동,32
남양동,32
창신제1동,32
일도1동,31
조촌동,31
미조면,31
남영동,31
종로5.6가동,31
단계동,31
나운3동,31
건입동,31
전곡읍,31
양평읍,31
부여읍,31
대산읍,31
서종면,31
달동,31
풍덕동,30
비산7동,30
취암동,30
명곡동,30
금촌1동,30
홍성읍,30
연산제4동,30
장목면,30
영랑동,30
논현1동,30
봉림동,30
학성동,29
웅동2동,29
화촌면,29
부평동,29
창전동,29
예래동,29
산내면,29
강경읍,29
월영동,29
부안읍,29
온양2동,29
동송읍,29
범일제2동,28
하단제2동,28
용당2동,28
장천동,28
중흥1동,28
증평읍,28
여흥동,28
평화남산동,28
해남읍,28
하북면,28
당산제1동,28
간석2동,28
천호제2동,27
계림1동,27
십정2동,27
삼호읍,27
주안6동,27
감전동,27
소양동,27
흥남동,27
퇴계동,27
개항동,27
연산제5동,27
덕진동,27
영북면,27
단장면,26
일도2동,26
동천동,26
제기동,26
돌산읍,26
범천제1동,26
내장상동,26
왕십리도선동,26
공산동,26
정왕1동,26
신지면,26
천곡동,26
구로제2동,26
천전동,26
가산동,26
대곡동,26
향남읍,26
양남면,26
장승포동,26
북방면,26
영광읍,26
황학동,25
진천읍,25
일동면,25
주교동,25
문창동,25
연안동,25
무거동,25
수안보면,25
복대1동,25
포승읍,25
함양읍,25
송정2동,25
목천읍,25
유천1동,25
대소면,25
동면,25
삼동면,25
부곡면,25
강동동,25
효자2동,25
일운면,25
구포제2동,25
태화동,25
만덕동,24
서교동,24
양동면,24
권선1동,24
월곶동,24
일산동,24
사천면,24
남정면,24
화천읍,24
계산1동,24
죽변면,24
상동,24
월명동,24
문산읍,24
대천동,24
양포동,24
재송제1동,23
합성1동,23
지정면,23
연무읍,23
이동면,23
근덕면,23
신암4동,23
백석읍,23
대조동,23
구룡포읍,23
산동면,23
백령면,23
동부면,23
보덕동,23
진영읍,23
역삼2동,23
북부동,22
화곡본동,22
화개면,22
용암1동,22
운암2동,22
요촌동,22
소라면,22
길동,22
이원면,22
수유3동,22
학동,22
옥천읍,22
강진읍,22
송림3.5동,22
인제읍,21
초읍동,21
초지동,21
금호동,21
잠실본동,21
우암동,21
둔산2동,21
금왕읍,21
주천면,21
사등면,21
연희동,21
하당동,21
단월면,21
동광동,21
석전동,21
도양읍,21
온천제3동,21
예천읍,21
청하면,20
사내면,20
영월읍,20
병곡면,20
화양동,20
명륜동,20
용현5동,20
효목1동,20
청룡동,20
포남1동,20
보은읍,20
자산동,20
두호동,20
청계면,19
회화면,19
온양3동,19
망운면,19
필동,19
번1동,19
영덕읍,19
가조면,19
부흥동,19
구로제4동,19
석적읍,19
선주원남동,19
금성면,19
완산동,19
강화읍,19
석문면,19
광림동,19
서포면,19
옥동,19
가남읍,19
한경면,19
보성읍,19
내덕1동,19
도고면,18
후포면,18
매교동,18
부곡동,18
고등동,18
옥천면,18
웅천읍,18
쌍용1동,18
연곡면,18
옥계면,18
왜관읍,18
용두동,18
울진읍,18
웅진동,18
원종1동,18
수진2동,18
의령읍,18
일광읍,18
장흥읍,18
청산면,18
고흥읍,18
진부면,18
창선면,18
신포동,18
안강읍,18
북문동,18
성건동,18
서구동,18
산호동,18
군북면,17
망우본동,17
용당1동,17
무풍면,17
성내.충인동,17
팔탄면,17
대현동,17
흑산면,17
호미곶면,17
교1동,17
장기면,17
외동읍,17
광천읍,17
횡성읍,17
둔산1동,17
광복동,17
흥해읍,17
동해면,17
대부동,17
화양읍남성현출장소,17
북평동,17
진북동,17
용담2동,17
부평4동,17
송라면,17
영통3동,17
수민동,17
여천동,17
성내1동,17
백운2동,17
연산면,17
영주1동,17
신갈동,17
덕천제2동,17
복대2동,17
오라동,17
합포동,17
노송동,17
문화동,17
대연제1동,17
옥포2동,17
안성2동,17
진산면,16
진도읍,16
두산동,16
청량리동,16
효자5동,16
신호동,16
청송읍,16
청양읍,16
평거동,16
하동읍,16
정자1동,16
점촌2동,16
양평제1동,16
망상동,16
영동읍,16
이서면,16
서제3동,16
부발읍,16
명지1동,16
포천동,16
미아동,16
수성동,16
송도2동,16
강상면,16
남해읍,16
광혜원면,16
돌산읍죽포출장소,16
광천동,16
광영동,16
동량면,16
수동면,15
덕계동,15
평화동,15
서정동,15
광안제3동,15
화양면,15
장전제2동,15
토지면,15
천북면,15
온정면,15
신북면,15
양덕1동,15
진서면,15
벌교읍,15
통진읍,15
거진읍,15
동선동,15
양지면,15
전농제1동,15
기린면,15
장항읍,15
장평동,15
서현1동,15
일산2동,15
송천동,15
송중동,15
갈말읍,15
용담1동,15
금정동,15
불당1동,14
경안동,14
서제2동,14
서초3동,14
봉평동,14
장성읍,14
구운동,14
대화동,14
용문동,14
풍기읍,14
북평면,14
죽산면,14
용현2동,14
영주2동,14
영천동,14
물금읍,14
용지동,14
문막읍,14
안중읍,14
원곡면,14
신평면,14
상계6.7동,14
곤지암읍,14
대천2동,14
오학동,14
남양읍,14
음성읍,14
대신동,14
논현2동,14
가야읍,14
송월동,14
대항면,14
첨단2동,14
봉동읍,14
의성읍,14
내가면,14
온산읍,14
시흥제1동,14
진접읍,14
가야면,14
금산읍,14
상서면,13
신안면,13
정선읍,13
백운동,13
방어동,13
상주면,13
정왕3동,13
송지면,13
왕조1동,13
복현1동,13
삼남읍,13
화정1동,13
경암동,13
삼성2동,13
양동,13
오류제1동,13
별내면,13
인덕원동,13
삼호읍서부출장소,13
문곡소도동,13
내이동,13
효성2동,13
시천면,13
우제2동,13
마장면,13
작전서운동,13
수유1동,13
본오3동,13
능포동,13
안심2동,13
발한동,13
내촌면,13
성당동,13
남이면,13
서면와수출장소,13
빛가람동,13
구로제3동,13
죽교동,13
우정읍,12
우도면,12
주왕산면,12
영종1동,12
영암읍,12
장충동,12
삼덕동,12
풍덕천1동,12
영해면,12
화도읍동부출장소,12
관고동,12
광정동,12
한강로동,12
왕조2동,12
남현동,12
포곡읍,12
화정동,12
구산면,12
도화1동,12
단구동,12
단성면,12
규암면,12
점촌1동,12
마산면,12
봉명동,12
서부면,12
창녕읍,12
금산면,12
신설동,12
퇴촌면,12
중학동,12
구래동,12
광명2동,12
중방동,12
합천읍,12
소초면,12
광명3동,12
건국동,12
독산제1동,12
금남면,11
부강면,11
금구면,11
봉양읍,11
영주제1동,11
전하1동,11
근남면,11
대양면,11
호수동,11
정왕2동,11
호계3동,11
점촌5동,11
행구동,11
전포제1동,11
봉명2.송정동,11
정관읍,11
복수면,11
와룡면,11
청천면,11
삼안동,11
가산면,11
송산면,11
대곶면,11
논공읍공단출장소,11
청통면,11
구월3동,11
상장동,11
내수읍,11
황금2동,11
효자1동,11
아포읍,11
성주읍,11
선도동,11
다대제1동,11
구서제1동,11
공도읍,11
성사1동,11
언양읍,11
교월동,11
연수동,11
국동,11
동서동,11
시전동,11
장호원읍,11
죽항동,11
삼랑진읍,11
남부면,11
남부동,11
신길제1동,11
동충동,11
화명제3동,11
엄사면,11
송림2동,10
봉덕3동,10
농성2동,10
청운면,10
고양동,10
세류2동,10
신장1동,10
성산면,10
노원동,10
청천2동,10
동삼제2동,10
서남동,10
남포면,10
남지읍,10
사직1동,10
사창동,10
대병면,10
여의동,10
산양읍,10
산인면,10
풍산읍,10
상관면,10
감곡면,10
거북섬동,10
팽성읍,10
상무1동,10
조운동,10
부림동,10
해룡면,10
생연2동,10
안양4동,10
대소원면,10
안양2동,10
서창동,10
아라동,10
상3동,10
노량진제1동,10
우이동,10
장량동,10
우천면,10
화곡제6동,10
휘경제1동,10
덕산읍,10
현풍읍,10
두암2동,10
괴산읍,10
동촌동,10
이호동,10
이태원제1동,10
군포1동,10
응봉면,10
배방읍,10
이동,10
장안제2동,10
둔포면,10
화순읍,10
화양읍,10
문내면,10
원곡동,10
무안읍,10
문의면,10
향교동,10
장유1동,9
강서제1동,9
남평읍,9
단대동,9
도통동,9
양성면,9
용평면,9
충무공동,9
칠성동,9
추자면,9
도두동,9
구로제5동,9
군자동,9
효문동,9
용상동,9
비산5동,9
비전2동,9
탄현1동,9
웅동1동,9
산외면,9
대가야읍,9
산본1동,9
상하면,9
삼락동,9
연산제9동,9
연서면,9
문수동,9
원동면,9
전하2동,9
하양읍,9
대림제2동,9
무실동,9
삼성동,9
양평제2동,9
검산동,9
석관동,9
양덕2동,9
적성면,9
중림동,9
신사동,9
청파동,9
해미면,9
법성면,9
임자면,9
고산면,9
일죽면,9
괴정제3동,9
가곡동,9
신길제3동,9
내외동,9
철산3동,9
봉담읍,9
고덕동,9
임피면,9
범일제1동,9
구례읍,9
와촌면,9
내서읍,9
본리동,9
순창읍,9
교방동,9
용봉동,9
월호동,8
정남면,8
봉명1동,8
장안제1동,8
서농동,8
서부1동,8
삼성1동,8
법원읍,8
노암동,8
신길제5동,8
하망동,8
우정동,8
수정제2동,8
소사본동,8
남중동,8
양정제1동,8
양주2동,8
산성동,8
금마면,8
병점1동,8
상교동,8
삼문동,8
삼례읍,8
원덕읍임원출장소,8
동부동,8
평산동,8
고덕면,8
공단동,8
태평2동,8
팔봉면,8
산청읍,8
가창면,8
여서동,8
모현동,8
운정3동,8
판부면,8
천호제3동,8
괴정제1동,8
맹동면,8
신정4동,8
덕적면,8
종암동,8
불현동,8
감천제1동,8
부북면,8
음암면,8
진안읍,8
진보면,8
서천읍,8
백암면,8
축동면,8
북항동,8
신천동,8
만덕제2동,8
내손1동,8
북도면,8
심곡본동,8
칠성면,8
장기동,8
서초2동,8
오류동,8
부계면,8
오산면,8
답십리제1동,8
혜화동,8
군내면,8
오류왕길동,8
능곡동,7
진전면,7
흥업면,7
원덕읍,7
고전면,7
내당4동,7
양서면,7
성수2가제1동,7
추부면,7
소요동,7
삽교읍,7
신서면,7
응암제3동,7
노화읍,7
마천면,7
상동면,7
춘양면,7
원산출장소,7
송북동,7
두류1.2동,7
유달동,7
고경면,7
서부2동,7
진교면,7
월평1동,7
송도동,7
명정동,7
선구동,7
생일면,7
선남면,7
지곡면,7
심곡본1동,7
파평면,7
독산제4동,7
독산제3동,7
성거읍,7
앙성면,7
다산동,7
도산면,7
약목면,7
중화제2동,7
곤명면,7
보수동,7
소안면,7
연무동,7
합정동,7
갈현제1동,7
개금제1동,7
남가좌제1동,7
부성1동,7
부석면,7
기흥동,7
하안1동,7
운문면,7
장항2동,7
정촌면,7
용면,7
벌곡면,7
점촌3동,7
오송읍,7
함평읍,7
옥포읍,7
대산면,7
관양동,7
영등포본동,7
주교면,7
김포본동,7
북하면,7
국토정중앙면,7
용호제1동,7
금호1동,7
군서면,7
덕포제1동,7
한림면,7
군위읍,7
대신면,7
금호읍,7
봉현면,7
대천4동,7
홍제제3동,7
중곡제1동,7
현덕면,7
웅천동,7
외도동,7
봉래제1동,7
대명10동,7
금곡동,7
문현제2동,7
엄궁동,7
운주면,7
와부읍,7
대치4동,7
마서면,6
숭의1.3동,6
복흥면,6
초평면,6
수색동,6
의신면,6
방산면,6
금호2.3가동,6
숭의2동,6
보길면,6
금광면,6
교문1동,6
갈산1동,6
괴정동,6
일동,6
청담동,6
주덕읍,6
성남면,6
불광제2동,6
수한면,6
진미동,6
홍제동,6
가양제1동,6
삼향읍,6
선산읍,6
내면,6
임계면,6
성환읍,6
별량면,6
금서면,6
봉화읍,6
인월면,6
녹산동,6
농성1동,6
조리읍,6
옥도면,6
흑산면홍도출장소,6
신당제5동,6
청풍면,6
광명4동,6
고산2동,6
온양5동,6
신북읍,6
흥덕면,6
소천면,6
해제면,6
온양읍,6
부안면,6
대천3동,6
백수읍,6
금천면,6
간성읍,6
백석2동,6
이동읍,6
봉양면,6
동인동,6
합덕읍,6
마량면,6
평해읍,6
영양읍,6
안성1동,6
풍암동,6
반곡관설동,6
유구읍,6
사이동,6
상모사곡동,6
당산제2동,6
화정2동,6
대사동,6
안락제1동,6
안계면,6
상리면,6
